Arvore	DAP	Ht
1	13.5	17.2
2	13.3	16.1
3	10.0	13.9
4	21.5	23.0
5	13.1	18.2
6	12.6	15.7
7	32.0	22.2
8	24.9	22.3
9	8.1	14.4
10	7.9	13.4
11	11.2	17.3
12	33.0	23.1
13	24.1	23.7
14	9.7	14.0
15	8.0	14.1
16	5.1	13.2
17	28.0	20.8
18	15.0	20.2
19	11.5	13.5
20	12.3	15.8
21	27.0	22.5
22	12.7	18.4
23	19.2	22.1
24	23.7	20.9
25	13.8	17.8
26	26.2	22.3
27	9.6	15.0
28	19.2	20.7
29	20.3	22.1
30	27.9	22.7
31	7.7	14.8
32	14.1	19.2
33	5.8	15.0
34	19.0	23.1
35	31.7	24.5
36	19.2	20.3
37	9.8	13.8
38	6.5	13.7
39	28.5	21.7
40	15.2	20.9
41	16.9	21.8
42	17.1	21.8
43	19.0	22.3
44	26.7	21.1
45	22.0	21.0
46	16.3	21.1
47	14.4	20.0
48	32.3	22.2
49	16.9	21.0
50	13.0	16.1
